"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 25 15:05:51 GMT 2023","Tue Apr 25 15:05:53 GMT 2023","2055","tests","Elements","TestElements","","","Checking the broken link",""
"passed","Tue Apr 25 15:04:49 GMT 2023","Tue Apr 25 15:04:53 GMT 2023","4187","tests","Elements","TestElements","","","Check CheckBox",""
"passed","Tue Apr 25 15:06:41 GMT 2023","Tue Apr 25 15:06:45 GMT 2023","4221","tests","Interactions","TestInteractions","","","Check changed resizable boxes",""
"passed","Tue Apr 25 15:06:09 GMT 2023","Tue Apr 25 15:06:16 GMT 2023","7010","tests","Elements","TestElements","","","Check appear button",""
"passed","Tue Apr 25 15:04:22 GMT 2023","Tue Apr 25 15:04:25 GMT 2023","2520","tests","Alerts, Frame & Windows","TestAlertsFrameWindow","","","Check the page with frames",""
"passed","Tue Apr 25 15:04:06 GMT 2023","Tue Apr 25 15:04:14 GMT 2023","8123","tests","Alerts, Frame & Windows","TestAlertsFrameWindow","","","Checking the opening of the alert after 5 seconds",""
"passed","Tue Apr 25 15:05:45 GMT 2023","Tue Apr 25 15:05:49 GMT 2023","4651","tests","Elements","TestElements","","","Checking the link",""
"broken","Tue Apr 25 15:05:35 GMT 2023","Tue Apr 25 15:05:39 GMT 2023","4152","tests","Elements","TestElements","","","Check the change in the number of rows in the table(BUG BROKEN TEST)",""
"broken","Tue Apr 25 15:06:26 GMT 2023","Tue Apr 25 15:06:29 GMT 2023","3507","tests","Forms","TestForm","","","Check form",""
"passed","Tue Apr 25 15:07:21 GMT 2023","Tue Apr 25 15:07:25 GMT 2023","3563","tests","Widgets","TestWidgets","","","Check accordian widget",""
"passed","Tue Apr 25 15:07:52 GMT 2023","Tue Apr 25 15:07:58 GMT 2023","6114","tests","Widgets","TestWidgets","","","Check changed progress bar",""
"passed","Tue Apr 25 15:08:14 GMT 2023","Tue Apr 25 15:08:17 GMT 2023","2790","tests","Widgets","TestWidgets","","","Check switched tabs",""
"passed","Tue Apr 25 15:07:48 GMT 2023","Tue Apr 25 15:07:51 GMT 2023","2647","tests","Widgets","TestWidgets","","","Check moved slider",""
"failed","Tue Apr 25 15:07:38 GMT 2023","Tue Apr 25 15:07:42 GMT 2023","4221","tests","Widgets","TestWidgets","","","Check change date",""
"passed","Tue Apr 25 15:04:58 GMT 2023","Tue Apr 25 15:05:02 GMT 2023","3912","tests","Elements","TestElements","","","Сheck to add a person to the table",""
"passed","Tue Apr 25 15:04:45 GMT 2023","Tue Apr 25 15:04:48 GMT 2023","3220","tests","Elements","TestElements","","","Check TextBox",""
"passed","Tue Apr 25 15:07:34 GMT 2023","Tue Apr 25 15:07:37 GMT 2023","2555","tests","Widgets","TestWidgets","","","Check deletions from the single autocomplete",""
"passed","Tue Apr 25 15:05:57 GMT 2023","Tue Apr 25 15:05:59 GMT 2023","1802","tests","Elements","TestElements","","","Check download file",""
"passed","Tue Apr 25 15:04:54 GMT 2023","Tue Apr 25 15:04:57 GMT 2023","2359","tests","Elements","TestElements","","","Check RadioButton",""
"passed","Tue Apr 25 15:05:03 GMT 2023","Tue Apr 25 15:05:22 GMT 2023","18683","tests","Elements","TestElements","","","Check human search in table",""
"passed","Tue Apr 25 15:08:40 GMT 2023","Tue Apr 25 15:08:43 GMT 2023","3029","tests","Widgets","TestWidgets","","","Check multi select",""
"passed","Tue Apr 25 15:06:01 GMT 2023","Tue Apr 25 15:06:08 GMT 2023","7637","tests","Elements","TestElements","","","Check dynamic properties",""
"passed","Tue Apr 25 15:08:31 GMT 2023","Tue Apr 25 15:08:39 GMT 2023","8155","tests","Widgets","TestWidgets","","","Check all of the menu items",""
"failed","Tue Apr 25 15:08:18 GMT 2023","Tue Apr 25 15:08:30 GMT 2023","11380","tests","Widgets","TestWidgets","","","Check tool tips ",""
"passed","Tue Apr 25 15:08:00 GMT 2023","Tue Apr 25 15:08:13 GMT 2023","13127","tests","Widgets","TestWidgets","","","Check reset progress bar",""
"passed","Tue Apr 25 15:07:01 GMT 2023","Tue Apr 25 15:07:07 GMT 2023","5881","tests","Interactions","TestInteractions","","","Check revert draggable droppable",""
"passed","Tue Apr 25 15:07:44 GMT 2023","Tue Apr 25 15:07:47 GMT 2023","3630","tests","Widgets","TestWidgets","","","Check change date and time",""
"passed","Tue Apr 25 15:07:30 GMT 2023","Tue Apr 25 15:07:33 GMT 2023","2798","tests","Widgets","TestWidgets","","","Check deletions from the multi autocomplete",""
"passed","Tue Apr 25 15:07:26 GMT 2023","Tue Apr 25 15:07:29 GMT 2023","3004","tests","Widgets","TestWidgets","","","Check the autocomplete is filled",""
"passed","Tue Apr 25 15:03:54 GMT 2023","Tue Apr 25 15:03:57 GMT 2023","2721","tests","Alerts, Frame & Windows","TestAlertsFrameWindow","","","Checking the opening of a new tab",""
